DishName,Rating,ReviewCount,Submitter,MadeIt,Servings,Calories,PrepTime,CookTime,Totaltime,Ingredients,Directions
Head Cheese,4.42857122421265,4,Don,10,50,302,5 h,1 h,14 h,"['6 fresh ham hocks', '2 pounds veal shank', 'salt to taste', '1/4 cup white vinegar', '1/4 teaspoon ground nutmeg']","[""Place pork hocks, veal shank and salt in large kettle.  Cover entirely with water. Bring to full boil then reduce heat to slow simmer.  Cook until fork penetrates meat easily.  Periodically rearrange meat so it doesn't stick to bottom of kettle.  Skim off scum which forms on top of water. Keep adding boiling water to keep meat covered until done."", 'When meat is done, place on large cookie sheet for cooling. Strain remaining water into another kettle to remove any small bones and other matter; set aside strained water.  Place meat on tray and cool.  Remove all fat and bones. Dice remaining meat, skin and soft gristle.  Add diced meat to strained water.  Bring to full boil and reduce to very slow simmer. Add salt to taste at this time.  Periodically test mixture to see if it sets by pouring a small amount in a bowl and putting in freezer.  Mixture is set when it is the consistency of jello.  Add vinegar and nutmeg and remove from heat.', 'Ladle into bread pans making sure to distribute meat evenly.  Fill pans no more than 3/4 full.  Leave at room temperature until cool then refrigerate overnight.  Next day, unmold onto plastic wrap and double wrap in foil.  refrigerate until ready to use.  To serve, remove any fat from top of loaves and cut into chunks. Some prefer more vinegar and salt added at this time.', '']"
Spiced Potatoes,4.22222232818604,43,Krista B,47,4,299,10 m,55 m,1 h 5 m,"['6 red potatoes, cubed', '1 teaspoon paprika', '1 teaspoon cayenne pepper', '1 teaspoon chili powder', '1 teaspoon onion salt', '1 teaspoon garlic powder', '2 teaspoons dried parsley', '2 tablespoons olive oil']","['Preheat oven to 350 degrees F (175 degrees C).', 'Bring a large pot of salted water to a boil.  Add potatoes and cook until tender but still firm, about 15 minutes. Drain and spread on a baking sheet.', 'In a small bowl, or cup, combine paprika, cayenne, chili powder, onion salt, garlic powder and parsley.', 'Drizzle potatoes with oil and sprinkle with spice mixture.', 'Bake in preheated oven for 40 minutes, or until crisp, turning every 10 minutes.', '']"
Vegan Potatoes au Gratin,4.3125,13,Krista B,25,8,322,20 m,25 m,45 m,"['6 large potatoes, peeled and cubed', '1 1/4 cups vegetable broth, divided', '2 tablespoons all-purpose flour', '1 teaspoon seasoning salt', '1/2 teaspoon ground black pepper', '1/4 teaspoon dry mustard', '1/8 teaspoon nutmeg', '2 cups soy milk', '1 1/2 cups shredded Cheddar-flavored soy cheese, divided', '1 cup soft bread crumbs', '3 teaspoons paprika']","['Preheat oven to 350 degrees F (175 degrees C).', 'Bring a large pot of salted water to a boil.  Add potatoes and cook until tender but still firm, about 15 minutes. Drain and place in a 9 x 13 inch baking dish.', 'Meanwhile, in a small saucepan over high heat, boil 2 tablespoons of broth.  Reduce heat to low.  Stir in flour, seasoning salt, pepper, mustard and nutmeg.  Gradually add soy milk, stirring constantly until thickened.  Stir in half of the soy cheese.  Stir constantly until cheese is melted.  Pour over potatoes.', 'In a small bowl combine the remaining broth and the bread crumbs.  Spoon evenly over potatoes.  Top with remaining soy cheese.  Sprinkle with paprika.', 'Bake in preheated oven for 20 minutes.', '']"
Spicy Pork Sausage,4.07142877578735,10,ECKO,16,4,492,10 m,15 m,30 m,"['1 pound fresh, ground pork sausage', '1 tablespoon crushed red pepper', '1 1/2 tablespoons ground cumin', '3 cloves garlic, finely chopped', 'salt to taste']","['In a bowl, mix together with your hands Pork sausage, red pepper, cumin, garlic and salt.  Form patties. Fry in a skillet over medium heat until well done.', '']"
Great Hot Crab Dip,4.44680833816528,41,SHERIMA1,49,12,146,10 m,30 m,40 m,"['1 (8 ounce) package cream cheese, softened', '1/4 pound crabmeat', '1 tablespoon minced onion', '1/4 cup mayonnaise', '2 tablespoons cocktail sauce', '1/2 teaspoon prepared horseradish', '1/2 cup sliced almonds']","['Preheat oven to 350 degrees F (175 degrees C).', 'In a mixing bowl, combine the softened cream cheese, crabmeat, onion, mayonnaise, cocktail sauce and horseradish. Mix thoroughly.', 'Place mixture in a small casserole dish. Top mixture with sliced almonds. Bake in a preheated oven for 30 minutes or until bubbly', '']"
Black Halloween Punch,4.39766073226929,132,Kathleen,181,32,59,10 m,,1 h,"['1 (.13 ounce) envelope unsweetened grape soft drink mix', '1 (.13 ounce) envelope unsweetened orange soft drink mix', '2 cups white sugar', '3 quarts cold water', '1 liter ginger ale']","['To make a frozen hand, wash a disposable glove, fill with water, seal with a rubber band and freeze until hard.', 'Stir together grape soft drink mix, orange soft drink mix, sugar and water until solids are dissolved.  Combine with chilled ginger ale just before serving.  Dip the frozen hand briefly in warm water, then peel off the glove.  Float the prepared hand in the punch bowl for a ghastly effect.', '']"
Green Beans and Potatoes,3.84848475456238,21,Krista B,31,6,83,10 m,25 m,35 m,"['3 cups thinly sliced potatoes', '2 cups frozen green beans', '1/2 teaspoon dried thyme', '1/4 teaspoon ground black pepper', '1 teaspoon vegetarian Worcestershire sauce', '1 cup vegetable broth, divided', '1 teaspoon cornstarch', '1/4 cup chopped fresh parsley']","['In a large skillet over medium-high heat combine potatoes, green beans, thyme, pepper, Worcestershire sauce and 3/4 cup of broth.  Bring to a boil; reduce heat to medium-low, cover and simmer 15 to 20 minutes or until vegetables are tender.', 'In a small bowl blend remaining broth and cornstarch.  Stir in parsley; add to potato mixture.  Cook, stirring, until bubbly and thickened.', '']"
Pumpkin Cake Extraordinaire,1.66666662693024,6,Darlene,8,14,290,15 m,1 h 15 m,1 h 30 m,"['1 cup vegetable oil', '4 eggs', '1 1/2 cups pumpkin puree', '2 tablespoons vanilla extract', '2 1/2 cups all-purpose flour', '3 teaspoons baking powder', '1 1/2 teaspoons baking soda', '1/2 teaspoon salt', '3 teaspoons ground nutmeg', '5 teaspoons ground cinnamon', '3 tablespoons honey', ""1/2 cup confectioners' sugar"", '1 tablespoon lemon juice']","['Preheat oven to 375  degrees F (190 degrees C).  Grease and flour a 10 inch regular or fluted tube pan.', 'In a large bowl, beat together oil, eggs, pumpkin and vanilla.  In a separate bowl, mix flour, baking powder, baking soda, salt, nutmeg and cinnamon.  Fold flour mixture into pumpkin mixture.  Pour into prepared pan.', 'Bake in preheated oven 60 minutes; reduce heat to 350 degrees F (175 degrees C) and bake 15 minutes more, until cake springs back when lightly touched in center.  Let cool in pan 10 minutes before removing to wire rack to cool completely.', 'To make the Honey Glaze:  Warm honey in microwave or small saucepan until runny.  Place confectioners sugar in small bowl and pour runny honey and lemon juice over sugar.  Mix well and brush onto cooled cake.', '']"
Oven Baked Vegetables,3.04999995231628,18,KRISTAB,22,6,98,10 m,25 m,35 m,"['1 vegetable cooking spray', '2 potatoes, cubed', '1 carrot, sliced', '2 onions, sliced', '1 green bell pepper, chopped', '1/3 cup fat free Italian-style dressing', '1/8 teaspoon garlic salt', '1/4 teaspoon cayenne pepper', '1/8 teaspoon onion salt']","['Preheat oven to 350 degrees F (175 degrees C).  Spray a 9 x 13 inch baking pan with cooking spray.', 'In prepared pan combine potatoes, carrots, onions and bell pepper.', 'In a small bowl combine Italian dressing, garlic salt, cayenne pepper and onion salt.  Pour over vegetables.', 'Bake, covered, for 15 minutes.  Uncover, stir and bake for 10 minutes more.', '']"
Simple Hamburger Stroganoff,4.25217390060425,730,Jessica,2017,6,735,20 m,10 m,30 m,"['1 (16 ounce) package egg noodles', '1 pound lean ground beef', '1 (.75 ounce) packet dry brown gravy mix', '1 (8 ounce) package cream cheese', '1 (6 ounce) can chopped mushrooms, with liquid', '1/2 cup milk', '1 (8 ounce) container sour cream', '2 (10.75 ounce) cans condensed cream of mushroom soup']","['Bring a large pot of lightly salted water to a boil. Add egg noodles and cook for 8 to 10 minutes or until al dente; drain.', 'In a skillet over medium heat, brown the ground beef until no pink shows, about 5 minutes; drain fat.', 'Mix brown gravy, cream cheese, and mushrooms with hamburger, stirring until cream cheese melts. Add milk, sour cream, and mushroom soup to cooked pasta. Blend hamburger mixture with pasta.', '']"
Starlight Mint Sandwich Cookies,5,2,"Land O'Lakes, Inc.",2,30,175,1 h 30 m,6 m,3 h 45 m,"['COOKIE', '1 cup sugar', '1 cup LAND O LAKES(R) Butter, softened*', '2 egg yolks', '1 1/2 teaspoons vanilla', '1/2 teaspoon peppermint extract', '1/2 cup finely crushed red and white mint candies', '2 1/4 cups all-purpose flour', '1/4 teaspoon salt', 'FILLING', '7 (1 ounce) squares real semi-sweet baking chocolate', 'Crushed red and white mint candies']","['Combine sugar and butter in large bowl.  Beat at medium speed, scraping bowl often, until well mixed. Add egg yolks, vanilla and peppermint extract.  Continue beating, scraping bowl often, until well mixed.  Reduce speed to low.  Add flour, 1/2 cup crushed candies and salt; beat until well mixed . Cover; refrigerate until firm (1 hour).', 'Heat oven to 350 degrees F.  Roll out dough on lightly floured surface, one-half at a time (keeping remaining dough refrigerated), to 1/8-inch thickness.  Cut with assorted 1 1/2-inch cookie cutters.  Place 1 inch apart onto greased cookie sheets.', 'Bake for 6 to 10 minutes or until edges are lightly browned.  Let stand 1 minute; remove from cookie sheets.  Cool completely.', 'Put cookies together in pairs with about 1 teaspoon melted chocolate for each sandwich cookie.  Decorate as desired by dipping part of sandwich cookie in melted chocolate, then crushed candies or drizzling top with melted chocolate, then sprinkling with crushed candies.  Place onto waxed paper; let stand 1 hour to set.', '']"
Sesame Broccoli,3.95192313194275,80,KRISTAB,104,4,67,10 m,5 m,15 m,"['1 tablespoon sesame oil', '2 cups chopped broccoli', '1 tablespoon sesame seeds', '1 green bell pepper, sliced']","['Heat oil in a large skillet over medium-high heat.  Saute broccoli and sesame seeds for 2 minutes.  Stir in bell pepper and cook 2 to 3 minutes, until pepper is tender crisp.', '']"
Trim the Tree Butter Cookies,4.40000009536743,8,"Land O'Lakes, Inc.",8,36,178,1 h,6 m,2 h 21 m,"['COOKIE', '2 1/2 cups all-purpose flour', '1 1/4 cups powdered sugar', '1 cup LAND O LAKES(R) Butter, softened*', '1 egg', '1 teaspoon baking soda', '1 teaspoon cream of tartar', '1 teaspoon almond extract', 'FROSTING', '4 cups powdered sugar', '1/2 cup LAND O LAKES(R) Butter, softened*', '2 teaspoons vanilla', '3 tablespoons milk', 'Food color, if desired', 'Decorator sprinkles or candies, if desired']","['Combine all cookie ingredients in large bowl.  Beat at medium speed, scraping bowl often, until well mixed (3 to 4 minutes).  Divide dough in half.  Wrap in plastic food wrap; refrigerate until firm (1to 2 hours).', 'Heat oven to 375 degrees F.  Roll out dough on lightly floured surface, one-half at a time (keeping remaining dough refrigerated), to 1/8 to 1/4-inch thickness.  Cut with 2 to 3-inch cookie cutters.  Place 1 inch apart onto ungreased cookie sheets.', 'Bake for 6 to 10 minutes or until edges are lightly browned.  Let stand 1 minute; remove from cookie sheets.  Cool completely.', 'Combine 4 cups powdered sugar, 1/2 cup butter and vanilla in small bowl.  Beat at low speed, adding enough milk and scraping bowl often, for desired spreading consistency (1 to 2 minutes).  Tint frosting with food color, if desired.  Decorate cookies with frosting, sprinkles or candies, if desired.', '']"
Couscous and Cucumber Salad,4.14074087142944,105,KRISTAB,123,8,142,10 m,10 m,1 h 20 m,"['10 ounces uncooked couscous', '2 tablespoons olive oil', '1/2 cup lemon juice', '3/4 teaspoon salt', '1/4 teaspoon ground black pepper', '1 cucumber, seeded and chopped', '1/2 cup finely chopped green onions', '1/2 cup fresh parsley, chopped', '1/4 cup fresh basil, chopped', '6 leaves lettuce', '6 slices  lemon']","['In a medium saucepan, bring 1 3/4 cup water to a boil.  Stir in couscous; cover.  Remove from heat; let stand, covered, 5 minutes.  Cool to room temperature.', 'Meanwhile, in a medium bowl combine oil, lemon juice, salt and pepper.  Stir in cucumber, green onion, parsley, basil and couscous.  Mix well and chill for at least 1 hour.', 'Line a plate with lettuce leaves.  Spoon couscous mixture over leaves and garnish with lemon wedges.', '']"
Tomato Basil Pasta,4.46666669845581,146,ANGELA DAWN,257,6,414,30 m,10 m,40 m,"['2 cups diced tomatoes', '1 small onion, finely chopped', '6 tablespoons olive oil', '2 cloves crushed garlic', '6 leaves fresh basil, torn', '10 ounces fusilli pasta', '3 tablespoons grated Parmesan cheese, or to taste', '1 1/2 cups crumbled feta cheese', 'salt and ground black pepper to taste']","['Stir tomatoes, onion, olive oil, garlic, and basil together in a bowl.', 'Bring a large pot of lightly salted water to a boil. Cook fusilli in the boiling water, stirring occasionally, until cooked through but firm to the bite, 12 minutes. Drain.', 'Toss warm pasta with feta cheese and Parmesan cheese in a large bowl. Stir tomato mixture into pasta and season with salt and pepper.', '']"
Raspberry Almond Shortbread Thumbprints,4.70297050476074,93,"Land O'Lakes, Inc.",95,42,94,45 m,14 m,2 h 15 m,"['COOKIE', '1 cup LAND O LAKES(R) Butter, softened*', '2/3 cup sugar', '1/2 teaspoon almond extract', '2 cups all-purpose flour', '1/2 cup raspberry jam', 'GLAZE', '1 cup powdered sugar', '2 teaspoons water', '1 1/2 teaspoons almond extract']","['Combine butter, sugar and 1/2 teaspoon almond extract in large bowl.  Beat at medium speed, scraping bowl often, until creamy.  Reduce speed to low; add flour.  Beat until well mixed. Cover; refrigerate at least 1 hour.', 'Heat oven to 350 degrees F.  Shape dough into 1-inch balls.  Place 2 inches apart onto ungreased cookie sheets.  Make indentation in center of each cookie with thumb (edges may crack slightly).  Fill each indentation with about 1/4 teaspoon jam.', 'Bake for 14 to 18 minutes or until edges are lightly browned.  Let stand 1 minute; remove from cookie sheet.  Cool completely.', 'Meanwhile, stir together all glaze ingredients in small bowl with wire whisk until smooth. Add an additional teaspoonful of water if desired for drizzling consistency.  Drizzle over cooled cookies.', '']"
Almond Butter Cookies,4.16666650772095,15,"Land O'Lakes, Inc.",15,60,60,1 h,6 m,1 h 20 m,"['1 cup LAND O LAKES(R) Butter, softened*', '3/4 cup white sugar', '1 teaspoon almond extract', '2 cups all-purpose flour', '1/2 teaspoon baking powder', '1/4 teaspoon salt', '1/2 cup real semisweet chocolate chips', '2 teaspoons shortening']","['Heat oven to 400 degrees F.  Combine butter, sugar and almond extract in large  bowl.  Beat at medium speed, scraping bowl often, until creamy.  Reduce speed to low; add all remaining cookie ingredients.  Beat until well mixed.', 'Shape rounded teaspoonfuls of dough into 1-inch balls.  Place 2 inches apart onto ungreased cookie sheets.  Flatten balls to 1/4 inch thick with bottom of buttered glass dipped in sugar. Bake for 6 to 8 minutes or until edges are lightly browned.  Cool completely.', 'Melt chocolate chips and shortening in 1-quart saucepan over low heat, stirring occasionally, until smooth (2 to 4 minutes).  Drizzle or pipe top of cooled cookies making tree design, if desired.', '']"
Chocolate Walnut Fudge,4.23469400405884,85,LEEMA,160,36,121,10 m,15 m,2 h,"['1/2 cup butter', '1 cup semisweet chocolate chips', '1 teaspoon vanilla extract', '2 cups white sugar', '1 (5 ounce) can evaporated milk', '10 large marshmallows', '1 cup chopped walnuts']","['Butter an 8x8 inch dish.', 'Place butter, chocolate chips and vanilla in a mixing bowl.  Set aside.', 'In a medium saucepan over medium heat, combine sugar, milk and marshmallows.  Bring to a boil, stirring frequently.  Reduce heat to low and cook 6 minutes more, stirring constantly.  Remove from heat.', 'Pour marshmallow mixture over contents of mixing bowl.  Beat entire mixture until it thickens and loses its gloss.  Quickly fold in nuts and pour into prepared pan.  Refrigerate several hours until firm.', '']"
Peppermint Meltaways,3.71428561210632,6,"Land O'Lakes, Inc.",6,48,80,45 m,12 m,1 h 42 m,"['COOKIE', '1/2 cup powdered sugar', '1 cup LAND O LAKES(R) Butter, softened*', '1/2 teaspoon peppermint extract', '1 1/4 cups all-purpose flour', '1/2 cup cornstarch', 'GLAZE', '1 1/2 cups powdered sugar', '2 tablespoons LAND O LAKES(R) Butter, softened*', '1/4 teaspoon peppermint extract', '1 tablespoon milk', '2 drops red food color', 'Hard peppermint candy or candy canes, crushed']","['Combine 1/2 cup sugar, 1 cup butter and 1/2 teaspoon peppermint extract in large bowl.  Beat at medium speed, scraping bowl often, until creamy. Reduce speed to low; add flour and cornstarch.  Beat until well mixed.  Cover; refrigerate until firm (30 to 60 minutes).', 'Heat oven to 350 degrees F.  Shape rounded teaspoonfuls of dough into 1-inch balls.  Place 2 inches apart onto ungreased cookie sheets.  Bake for 12 to 15 minutes or until edges are lightly browned.  Let stand 1 minute; remove from cookie sheets.  Cool completely.', 'Combine 1 1/2 cups powdered sugar, 2 tablespoons butter, 1/4 teaspoon peppermint extract and milk in small bowl.  Stir in one additional tablespoon of milk if desired to reach proper glazing consistency. Stir in food color.  Drizzle over cooled cookies.  Immediately sprinkle with crushed candy.', '']"
Candy Cane Cooler,4.25,11,COOKA323,12,1,420,5 m,,5 m,"['3 scoops vanilla ice cream', '1 1/2 cups milk', '1 candy cane']","['In a blender combine ice cream, milk and candy cane.  Process until smooth.', '']"
Peppermint Snowball Cookies  ,3.83333325386047,10,Betty Crocker(R),10,32,107,20 m,15 m,35 m,"['1/4 cup crushed peppermint hard candies', '1/4 cup powdered sugar', '1 cup butter, softened', '1/3 cup powdered sugar', '1/4 cup crushed peppermint hard candies', '1 teaspoon vanilla extract', '2 1/4 cups Gold Medal(R) all-purpose flour', '1/4 teaspoon salt']","['Heat oven to 325 . Mix 1/4 cup crushed candies and 1/4 cup powdered sugar; reserve. Mix butter, 1/3 cup powdered sugar, 1/4 cup crushed candies and the vanilla in medium bowl. Stir in flour and salt.', 'Shape dough by level measuring tablespoonfuls into balls. Place about 2 inches apart on ungreased cookie sheet.', 'Bake 12 to 15 minutes or until set but not brown. Immediately remove from cookie sheet; roll in reserved candy mixture. Cool completely on wire rack. Roll in candy mixture again.', '']"
Gingersnap Mini Muffins,4.25,5,"Land O'Lakes, Inc.",5,16,214,25 m,10 m,35 m,"['1/4 cup white sugar', '1/4 cup firmly packed brown sugar', '1/2 cup LAND O LAKES(R) Butter, softened*', '2/3 cup mild molasses', '1 egg', '1 1/2 teaspoons baking soda', '1 teaspoon ground cinnamon', '1 teaspoon ground ginger', '1/2 teaspoon ground cloves', '2 teaspoons grated lemon peel', '2 1/2 cups all-purpose flour', '1 cup LAND O LAKES (R) Light Sour Cream', 'powdered sugar, if desired']","['Heat oven to 375 degrees F.  Combine all muffin ingredients except flour, sour cream, powdered sugar and orange marmalade in large bowl.  Beat at medium speed until well mixed (2 to 3 minutes).  Add flour and sour cream; continue beating until well mixed (1 to 2 minutes).', 'Spoon batter into greased mini muffin pans, filling cups 3/4 full.  Bake for 10 to 12 minutes or until toothpick inserted in center comes out clean.  Let stand 5 minutes; remove from pans.  Sprinkle with powdered sugar, if desired.', '']"
Austrian Jam Wreaths,5,2,"Land O'Lakes, Inc.",2,24,170,45 m,7 m,1 h 52 m,"['1 cup LAND O LAKES(R) Butter, softened*', '3/4 cup powdered sugar', '1 egg, separated', '1 3/4 cups all-purpose flour', '1 teaspoon vanilla', '3/4 cup finely chopped blanched almonds', '1/2 cup sliced almonds', '1/2 cup seedless raspberry or apricot preserves']","['Combine butter, powdered sugar and egg yolk in large mixer bowl.  Beat at medium speed, scraping bowl often, until creamy. Reduce speed to low.  Add flour and vanilla; beat until well mixed . Stir in finely chopped almonds by hand.  Cover; refrigerate until firm.', 'Heat oven to 350 degrees F.  Divide dough in half.  Roll out dough  on lightly floured surface, one-half at a time,(keeping remaining dough refrigerated) to 1/8-inch thickness.  Cut with 2 1/2-inch round cookie cutters.  Cut out 1-inch hole in half of cookies.', 'Place 1 inch apart onto greased cookie sheets.  Brush cookies with holes in center with reserved egg white.  Top with sliced almonds; press down lightly.', 'Bake for 7 to 10 minutes or until edges are lightly browned.  Cool completely.', 'Spread each cookie without  a hole with 2 teaspoons preserves; top with almond-covered cookies. Press together lightly. Repeat with remaining cookies and preserves.  Store in single layer.', '']"
Peppermint Brownies,3.44444441795349,7,"Land O'Lakes, Inc.",7,36,209,20 m,27 m,1 h 47 m,"['BROWNIE', '1 1/4 cups LAND O LAKES(R) Butter', '6 (1 ounce) squares unsweetened baking chocolate', '3 cups sugar', '4 eggs, slightly beaten', '1/2 teaspoon peppermint extract', '2 1/2 cups all-purpose flour', '1/2 teaspoon salt', 'FROSTING', '1 cup powdered sugar', '2 tablespoons LAND O LAKES(R) Butter, softened*', '1/8 teaspoon peppermint extract', '1 tablespoon milk, or as needed', 'GARNISH', '1/4 cup crushed peppermint candies']","['Heat oven to 350 degrees F.  Melt 1 1/4 cups butter and chocolate in 3-quart saucepan over low heat, stirring occasionally, until smooth. Remove from heat; stir in sugar.  Add eggs and 1/2 teaspoon peppermint extract; beat just until mixed.  Stir in flour and salt; mix well.', 'Grease bottom only of a 13x9 inch baking pan. Spread batter into pan.  Bake for 30 to 35 minutes or until brownie just begins to pull away from sides of pan. (DO NOT OVER BAKE.)  Cool completely.', 'Combine all frosting ingredients except milk in small bowl.  Beat at low speed, gradually adding milk to desired spreading consistency.', 'Drizzle frosting over brownies.  Sprinkle with candy; gently press into frosting.  Cover; refrigerate to set frosting (30 minutes).  Cut into bars.', '']"
Sensational Irish Cream Cheesecake,4.39130449295044,19,"Land O'Lakes, Inc.",19,16,363,30 m,45 m,4 h 15 m,"['CRUST', '1 3/4 cups finely crushed chocolate graham cracker crumbs', '6 tablespoons LAND O LAKES(R) Butter, melted', 'FILLING', '1 cup sugar', '3 (8 ounce) packages cream cheese, softened', '4 eggs', '1/3 cup Irish Cream liqueur*', '3/4 cup mini real semi-sweet chocolate chips', '1 teaspoon all-purpose flour', 'LAND O LAKES(R) Gourmet Heavy Whipping Cream, whipped, if desired', 'Chocolate curls, if desired']","['Heat oven to 375 degrees F.  Combine all crust ingredients in medium bowl. Press onto bottom and 1 inch up sides of lightly greased 9-inch springform pan.  Set aside.', 'Combine sugar and cream cheese in large bowl.  Beat at medium speed, scraping bowl often, until creamy.  Add eggs one at time, beating well after each addition until well mixed. (DO NOT OVER-BEAT.) Stir in liqueur by hand.', 'Combine 1/2 cup chocolate chips and one teaspoon flour in small bowl; gently stir into cream cheese mixture.  Pour batter over crust.  Sprinkle remaining chocolate chips over batter.', 'Bake for 45 to 55 minutes until center is set and firm to touch. Cool 10 minutes.  Loosen side of cheesecake by running knife around inside of pan.  Cover; refrigerate at least 3 hours.', 'Pipe whipped cream over top of cheesecake and top with chocolate curls, if desired.', '']"
Raspberry White Chocolate Muffins,4,24,"Land O'Lakes, Inc.",24,12,293,15 m,24 m,45 m,"['MUFFINS', '1 cup milk', '1/2 cup LAND O LAKES(R) Butter, melted', '1 egg, slightly beaten', '2 cups all-purpose flour', '1/3 cup sugar', '1 tablespoon baking powder', '1 teaspoon salt', '1 cup fresh or frozen raspberries', '1/2 cup white baking chips*', 'TOPPING', '1/4 cup LAND O LAKES(R) Butter, melted', '1/4 cup sugar']","['Heat oven to 400 degrees F. Combine milk, butter and egg in large bowl.  Stir in all remaining muffin ingredients except raspberries and white baking chips just until flour is moistened. Gently stir in raspberries and white baking chips.', 'Spoon into greased 12-cup muffin pan. Bake for 24 to 28 minutes or until golden brown.  Cool slightly; remove from pan.', 'Dip top of each muffin in melted butter, then in sugar.', '']"
Orange Spiced Gingerbread Cookies,3.66666674613953,3,"Land O'Lakes, Inc.",3,48,115,1 h,6 m,3 h 21 m,"['COOKIE', '2/3 cup light molasses', '1/3 cup firmly packed brown sugar', '1/3 cup LAND O LAKES(R) Butter, softened*', '1 egg', '2 teaspoons grated orange peel', '2 3/4 cups all-purpose flour', '1 teaspoon ground ginger', '1/2 teaspoon baking soda', '1/2 teaspoon salt', 'FROSTING', '4 cups powdered sugar', '1/2 cup LAND O LAKES(R) Butter, softened*', '2 teaspoons vanilla extract', '3 tablespoons milk, plus more if necessary', 'Food color, if desired']","['Combine molasses, brown sugar, 1/3 cup butter, egg and orange peel in large  bowl.  Beat at medium speed until smooth and creamy. Reduce speed to low.  Add all remaining cookie ingredients; beat until well mixed.  Cover; refrigerate until firm (at least 2 hours).', 'Heat oven to 375 degrees F.  Roll out dough on well-floured surface, one-half at a time (keeping remaining dough refrigerated), to 1/4-inch thickness.  Cut with 3 to 4-inch cookie cutters.  Place 1 inch apart onto greased cookie sheets.', 'Bake for 6 to 8 minutes or until no indentation remains when touched.  Cool completely.', 'Combine powdered sugar, 1/2 cup butter and vanilla in small mixer bowl.  Beat at low speed, adding extra milk for desired spreading consistency.  Tint frosting with food color, if desired.  Decorate cooled cookies with frosting.', '']"
Melt-in-your Mouth Shortbread Cookies,4.55000019073486,17,"Land O'Lakes, Inc.",17,42,83,40 m,7 m,2 h 50 m,"['1 cup LAND O LAKES(R) Butter, softened*', '1/2 cup firmly packed brown sugar', '1 teaspoon vanilla', '2 1/4 cups all-purpose flour', '1/2 cup sugar', '1 teaspoon ground cinnamon']","['Combine butter, brown sugar and vanilla in large bowl.  Beat at medium speed, scraping bowl often, until creamy. Add flour; reduce speed to low.  Beat, scraping bowl often, until mixture leaves side of bowl and forms a smooth, soft dough.', 'Divide dough in half.  Shape each half into 6x2-inch round log.  If desired, shape logs into squares or triangles. Wrap each log in plastic food wrap; refrigerate at least 2 hours.', 'Heat oven to 375 degrees F.  Cut logs into 1/4-inch slices with sharp knife.  Place 1 inch apart onto ungreased cookie sheets.  Bake for 7 to 9 minutes or until lightly browned on edges.  Let stand 5 minutes before removing from cookie sheets.', 'Stir together sugar and cinnamon in small bowl.  Roll warm cookies in cinnamon-sugar mixture.', '']"
Spiced Pumpkin Muffins,4.40625,24,"Land O'Lakes, Inc.",24,12,231,10 m,15 m,30 m,"['2 cups all-purpose flour', '2/3 cup firmly packed brown sugar', '1/3 cup white sugar', '1 tablespoon baking powder', '1 teaspoon salt', '1 teaspoon ground cinnamon', '1/4 teaspoon baking soda', '1/4 teaspoon ground ginger', '1/2 cup LAND O LAKES(R) Butter, melted', '1/2 cup cooked pumpkin', '1/3 cup buttermilk', '2 eggs, slightly beaten']","['Heat oven to 400 degrees F.  Stir together all ingredients except butter, pumpkin, buttermilk and eggs in large bowl.  Stir together all remaining ingredients in medium bowl.  Stir into flour mixture just until moistened.', 'Spoon batter into paper-lined or greased muffin pan.  Bake for 15 to 20 minutes or until toothpick inserted in center comes out clean.  Cool 5 minutes; remove from pan.', '']"
Holiday Green Beans,4.4375,15,CASEY52,20,6,297,10 m,10 m,12 h 20 m,"['1/2 cup butter', '1 lemon, juiced', '2 teaspoons soy sauce', '2 cloves garlic, thinly sliced', '2 pounds fresh green beans', '1 (4 ounce) jar diced pimento peppers, drained', '3/4 cup chopped salted peanuts']","['In a small saucepan over low heat melt butter with lemon juice and soy sauce.  Stir in garlic and cook for about 10 minutes.  Refrigerate overnight.', 'Place green beans in a steamer over 1 inch of boiling water, and cover. Cook until tender but still crisp, about 10 minutes. Drain.', 'Heat butter mixture and pour over beans.  Stir in pimentos and peanuts.  Toss and serve.', '']"
Holiday Candy Cookies,4,2,"Land O'Lakes, Inc.",2,72,95,1 h,15 m,1 h 15 m,"['1 1/3 cups firmly packed brown sugar', '2/3 cup LAND O LAKES(R) Butter, softened*', '1/3 cup peanut butter', '2 eggs', '2 teaspoons vanilla extract', '1 cup all-purpose flour', '1 teaspoon baking powder', '1/2 teaspoon baking soda', '2 1/2 cups quick-cooking oats', '1 (10 ounce) package red and green chocolate candy-coated pieces', '1 cup white baking chips']","['Heat oven to 350 degrees F.  Combine sugar, butter and peanut butter in large bowl.  Beat at medium speed, scraping bowl often, until well mixed (1 to 2 minutes).  Add eggs and vanilla; beat until well mixed (1 to 2 minutes).  Reduce speed to low; add flour, baking powder and baking soda.  Beat until well mixed (1 to 2 minutes).  Stir in oats, candy pieces and chips by hand.', 'Drop dough by heaping teaspoonfuls into paper-lined mini muffin pans.  Bake for 15 to 17 minutes or until set and light golden brown.  Let stand 2 minutes; remove from pans.', '']"
