DishName,Rating,ReviewCount,Submitter,MadeIt,Servings,Calories,PrepTime,CookTime,Totaltime,Ingredients,Directions,,,,,,,,,,,
Savory Turkey Gravy,4.156862736,37,Veronica Harper,7,16,12,,,,"['5 cups turkey stock', '1 cup water', '1/4 cup all-purpose flour', '1 teaspoon poultry seasoning', '1/2 teaspoon ground black pepper', '1/4 teaspoon celery salt', '1 teaspoon salt']","['In a medium saucepan, bring the turkey stock to a boil.', 'Gradually dissolve flour in water.  Slowly stir the flour mixture into the turkey stock.  Stir in poultry seasoning, pepper, celery, and salt.  Boil to desired consistency.', '']",,,,,,,,,,,
Stuffed Celery,4.108108044,33,Linda,10,10,121,,,,"['1 bunch celery', '1 (8 ounce) package cream cheese', '1/4 cup chopped walnuts', '20 small green olives', '2 tablespoons sour cream']","['Coarsely chop the olives. Separate and wash celery stalks. Cut stalks into bite sized pieces.', ""Mix the cream cheese and sour cream together. Stir in the walnuts and chopped olives. Spread filling onto the celery pieces. It's also good on crackers."", '']",,,,,,,,,,,
Sweet Potato Casserole V,4.639999866,40,Kelley,2,8,238,,,,"['3 cups cooked and mashed sweet potatoes', '1/3 cup packed brown sugar', '1/3 cup eggnog', '2 tablespoons margarine, melted', '1 teaspoon vanilla extract', '1/2 teaspoon salt', '2 egg whites', '1/2 cup packed brown sugar', '1/4 cup all-purpose flour', '2 tablespoons butter']","['Preheat the oven to 350 degrees F (175 degrees C). Coat one 2 quart baking dish with non-stick cooking spray.', 'Combine the mashed sweet potatoes, 1/3 cup brown sugar, eggnog, melted margarine, vanilla extract, salt and egg whites. Spoon mixture into the prepared baking dish.', 'Combine the 1/2 cup brown sugar and flour. Cut in the chilled 2 tablespoons margarine until the mixture resembles coarse crumbs. Sprinkle over the sweet potato mixture.', 'Bake at 350 degrees F (175 degrees C) for 30 minutes.', '']",,,,,,,,,,,
Vegetarian Stuffing,4.363636494,9,Debra B.,18,6,316,,,,"['1 (1 pound) loaf day-old bread', '1 (10.75 ounce) can condensed cream of mushroom soup', '1 (10.5 ounce) can vegetable broth', '1/4 cup water', '1 teaspoon poultry seasoning', 'salt to taste', 'ground black pepper to taste', '1/2 cup wild rice, cooked (optional)', '1/4 cup dried cranberries (optional)', '1/2 cup chopped mushrooms (optional)', '1/4 cup chopped walnuts (optional)', '1/4 cup cubed apples (optional)']","['Mix together the bread, cream of mushroom soup, vegetable broth, water, poultry seasoning, and salt and pepper to taste. Add any or all of the optional ingredients as desired. It will be sticky. Shape into a loaf and wrap in (nonstick, sprayed) foil to bake.', 'Bake for about an hour at 350 degrees F (175 degrees C). You can slice it like a meatloaf and serve.', '']",,,,,,,,,,,
Hot Buttered Rum Mix,4.599999905,103,Kevin Ryan,18,15,,,,,"['1 cup unsalted butter, softened', ""1 (16 ounce) package confectioners' sugar, sifted"", '1 pound light brown sugar, packed', '1 quart vanilla ice cream, softened']","['In a large bowl cream the butter and the sugars together until smooth. Add the softened ice cream and mix until a creamy consistency is obtained. Transfer this to a freezer container with a tight fitting lid. Place in the freezer for up to 1 month.', 'To Serve: Place a heaping 2 tablespoons of the frozen mix in a highball glass or coffee mug. Add 1 to 2 tablespoons dark rum.  Pour over the mix 6 ounces of boiling water and stir until the mixture is melted. Sprinkle top with cinnamon or nutmeg and serve forth!', '']",,,,,,,,,,,
Roast Pork with Maple and Mustard Glaze,4.584967136,475,Christine L.,231,8,290,15 m,1 h,1 h 25 m,"['2 1/2 pounds boneless pork loin roast', '1 cup real maple syrup', '4 tablespoons prepared Dijon-style mustard', '2 1/2 tablespoons cider vinegar', '2 1/2 tablespoons soy sauce', 'salt to taste', 'ground black pepper to taste']","['Preheat the oven to 350 degrees F (175 degrees C).', 'Stir together the maple syrup, mustard, vinegar, soy sauce, salt, and pepper in a small bowl. Place pork roast in a shallow roasting pan. Spread glaze evenly over pork roast.', 'Roast pork in the preheated oven uncovered, until internal temperature measured with a meat thermometer reaches 145 degrees F (63 degrees C), about 1 hour.  Remove from oven, and let rest about 10 minutes before slicing to serve.', '']",,,,,,,,,,,
Boiled Fruitcake,4.78000021,41,Mark Richards,18,10,558,20 m,2 h 10 m,2 h 40 m,"['2 cups chopped dried mixed fruit', '1 cup roughly chopped glace cherries', '1/4 cup candied mixed citrus peel', '1/2 cup chopped walnuts', '1 1/2 cups white sugar', '3/4 cup butter', '1 cup milk', '1 teaspoon mixed spice', '1/2 teaspoon baking soda', '2 2/3 cups sifted self-rising flour', '2 eggs']","['Preheat oven to 325 degrees F (160 degrees C). Line one 8x3 inch round cake tin with parchment paper.', 'In a medium saucepan, combine mixed fruit, cherries, citrus peel, walnuts, sugar, butter, milk, mixed spice, and baking soda. Bring to a boil, and simmer for 5 minutes. Let the mixture cool to room temperature.', 'Stir in flour and eggs. Pour into the prepared pan. Wrap outside of pan with brown paper or newspaper.', 'Bake at 325 degrees F (160 degrees C) for 40 minutes, then reduce temperature to 300 degrees F (150 degrees C), and continue to baking cake for 1 1/2 hours. Remove cake from oven, and allow to cool in the tin for 5 minutes, then turn it out onto a cooling rack, remove paper, and cool completely. Cake can be stored for up to 6 months wrapped in foil and in an airtight tin.', '']",,,,,,,,,,,
Fruitcake,3.987341881,70,Roxy,27,16,639,,,,"['2 cups packed brown sugar', '3 cups all-purpose flour', '1 tablespoon baking soda', '2 tablespoons ground cinnamon', '2 tablespoons ground cloves', '2 tablespoons ground allspice', '2 tablespoons ground nutmeg', '4 eggs', '2 tablespoons lemon zest', '2 tablespoons vanilla extract', '1/2 cup brandy', '1 1/2 cups raisins', '1 1/2 cups chopped nuts', '1 1/2 cups dried mixed fruit', '1 1/2 cups butter, melted', '1 3/4 cups brandy']","['Preheat oven to 225 degrees F (110 degrees C).  Grease and flour a tube pan.', 'In a large bowl, combine sugar, flour, soda, spices, eggs, lemon rind, vanilla, 1/2 cup brandy, fruit, nuts, and melted butter or margarine.  Mix thoroughly.  Pour into prepared pan.', 'Bake for 1 hour, or until a tester inserted in the center comes out clean.  Cool on a wire rack.', 'Wrap cooled cake in foil.  Sprinkle 2 tablespoons brandy over the cake everyday for 2 weeks.', '']",,,,,,,,,,,
Unbaked Fruit Cake,4.5,3,Paula Seymour,0,20,350,30 m,,7 d 30 m,"['14 ounces sweetened condensed milk', '2 cups raisins', '2 cups chopped almonds', '2 cups chopped marshmallows', '2 cups candied pineapple chunks', '1/2 teaspoon ground cinnamon', '1/2 teaspoon ground nutmeg', '1/2 teaspoon ground allspice', '2 cups dates, pitted and chopped', '1 cup dried currants', '1 cup chopped walnuts', '4 cups graham cracker crumbs', '4 tablespoons chopped candied cherries', '1/2 teaspoon salt', '1/2 teaspoon ground cloves']","['Grease one 9x13 inch pan.', 'Combine all the ingredients and mix well. Spread batter into the prepared pan.', 'Let cake stand in a cool place and age for at least one week before serving.', '']",,,,,,,,,,,
Minnehaha Cake,5,2,Suzanne Stull,0,18,419,,,,"['1 1/2 cups white sugar', '1/2 cup butter', '2 eggs', '1 cup milk', '1 teaspoon vanilla extract', '2 1/2 cups all-purpose flour', '2 teaspoons baking powder', '1 1/2 cups packed brown sugar', '2 egg whites', '5 tablespoons water', '1/4 teaspoon salt', '1 teaspoon vanilla extract', '1 tablespoon raisins', '4 ounces toasted almonds', '10 ounces toasted pecans', '20 red and green maraschino cherries (optional)']","['Beat together the white sugar and butter.   Add the eggs and 1 teaspoon vanilla.  In a separate bowl, combine the flour and baking powder.  Add the flour mixture alternately with the milk.', 'Pour into greased and floured 9 x 13 pan.  Bake at 350 degrees F (175 degrees C) for 30 minutes or until tests done.', 'To Make Frosting:  Beat together with an electric mixer the brown sugar, egg whites, water and salt.  Place in a double boiler over rapidly boiling water, stirring constantly.   Cook 10 minutes or until frosting will stand in peaks.  Remove from heat and add 1 teaspoon vanilla.  Beat until thick.  Spread on cake.  Decorating:  Place one large raisin in each corner.  Then place toasted almonds, toasted pecans, red and green cherries all over the cake.', '']",,,,,,,,,,,
Pumpkin Roll,4.646551609,97,Tammy Elliott,105,10,383,,,,"['3 eggs', '1 cup white sugar', '2/3 cup solid pack pumpkin puree', '1 teaspoon lemon juice', '3/4 cup all-purpose flour', '2 teaspoons ground cinnamon', '1/2 teaspoon salt', '1 teaspoon baking powder', '1 teaspoon ground ginger', '1 cup chopped pecans', ""1 cup confectioners' sugar"", '1/2 teaspoon vanilla extract', '4 tablespoons butter', '8 ounces cream cheese']","['Preheat oven to 350 degrees F (175 degrees C).  Grease and flour a jellyroll pan (large cookie sheet with sides).', 'In a mixing bowl, beat eggs on high for five minutes.  Gradually add white sugar, pumpkin, and lemon juice.  Add flour, cinnamon, salt, baking powder, and ginger.  Spread batter evenly in pan.  Sprinkle pecans evenly on top, and press lightly into batter.', 'Bake for 12 to 15 minutes, or until it springs back when touched.  Loosen edges with a knife.  Turn out on two dishtowels that have been sprinkled with powdered sugar.  Roll up cake, and let cool for about 20 minutes.', ""To Make Filling:  Mix confectioners' sugar, vanilla, butter or margarine, and cream cheese together till smooth."", 'Unroll pumpkin cake when cool, and spread with filling.   Reroll, and push aside the dishtowel.  Unroll long sheet of waxed paper.  Put pumpkin roll on waxed paper.  Dust pumpkin roll with powdered sugar.  Twist ends of waxed paper like a piece of candy.  Put pumpkin roll in refrigerator and chill overnight.  Before slicing, dust with powdered sugar.  Serve chilled.', '']",,,,,,,,,,,
Cherry Shortbread Cookies,3.862068892,26,Carol,18,12,218,,,,"['1 cup all-purpose flour', ""1/2 cup confectioners' sugar"", '1/2 cup cornstarch', '1/2 cup chopped cherries', '1 cup butter']","['Preheat oven to 300 degrees F (150 degrees C).', ""Cream butter and confectioners' sugar together. Add the cornstarch and flour and mix well. Stir in the chopped cherries. Drop teaspoonfuls of the dough onto a cookie sheet  then press with tines of a floured fork."", 'Bake at 300 degrees F (150 degrees C) until lightly golden, about 10 to 15 minutes.', '']",,,,,,,,,,,
Leftover Pot Pie,4.576271057,96,Elizabet Childers,35,6,506,,,,"['2 cups leftover turkey, chopped or shredded', '2 cups turkey gravy', '2 cups mixed vegetables', '2 (9 inch) unbaked pie shells', '2 tablespoons cornstarch (optional)', '1/4 cup water (optional)']","['Preheat oven to 350 degrees F (175 degrees C).', 'If you are using stock, bring the stock to a boil.  Add cornstarch to cold water, and blend until smooth; whisk into stock to thicken.', 'Line a 9 inch pie plate with pastry.  Mix turkey and vegetables together, and place in pie crust.  Pour gravy or thickened stock over turkey and vegetables.  Cover with remaining pie crust.  Cut slits in the top to release steam.', 'Place pot pie on a cookie sheet to prevent stock from over flowing into your oven.  Cook in center of oven until crust is golden brown, approximately 1 hour.  Slice, and serve hot.', '']",,,,,,,,,,,
Sausage Christmas Cake,4.333333492,2,Sandra Anderson,0,12,480,,,,"['1 pound pork sausage', '1 cup cold, brewed coffee', '1 cup packed dark brown sugar', '1 cup white sugar', '2 eggs, beaten', '1 teaspoon ground cinnamon', '1 teaspoon ground nutmeg', '1/2 teaspoon ground cloves', '2 cups self-rising flour', '1 cup chopped walnuts', '1/2 cup golden raisins', '1/2 cup raisins']","['Mix together cinnamon, nutmeg, cloves, and flour in a bowl.', 'Add sausage, coffee, sugars, and eggs to the dry ingredients. Add raisins and nuts. Pour into an ungreased angel food cake pan.', 'Bake in preheated oven at 350 degrees F (175 degrees C) for 1 hour or till a toothpick comes out clean.', 'Garnishes may be added such as drizzled white frosting with whole cherries and mint leaves. This cake is so moist. If you like the flavor of rum you can wrap a rum-soaked damp cloth around it and refrigerate for several weeks. Best served with a spoonful of whipped cream.', '']",,,,,,,,,,,
Best Rolls Ever!,3.929824591,51,Cara A. Austin,8,24,248,,,,"['2 cups water', '1 cup butter', '1 cup white sugar', '2 eggs', '1/2 cup water', '1 teaspoon white sugar', '3 (.25 ounce) packages active dry yeast', '1 teaspoon salt', '7 1/2 cups self-rising flour']","['In a large bowl place 2 cups water and butter or margarine. Microwave about 2 minutes.', 'In another bowl, mix 1 cup sugar and eggs.', 'In a separate cup, microwave 1/2 cup water for 30 seconds. Add 1 teaspoon sugar and dissolve yeast in this.', 'Mix butter water and sugar and eggs mixture together; add salt. Mix in yeast water. Stir in 7 to 7 1/2 cups flour. Mix well and let rise in the refrigerator overnight, covered.', 'When ready to use, dump onto floured surface (DO NOT PUNCH DOWN!) and let warm to room temperature. LIGHTLY KNEAD! Only work in enough extra flour to handle.', 'Shape into rolls and place on greased sheet(s). Let rest 30 minutes, or until doubled in size.', 'Bake in a preheated 400 degree F (205 degrees C) oven until tops are golden. Brush with oil or butter immediately out of the oven.', '']",,,,,,,,,,,
Strawberry Bread,4.447916508,856,Ellen Rainey,559,24,281,30 m,45 m,1 h 25 m,"['2 cups fresh strawberries', '3 1/8 cups all-purpose flour', '2 cups white sugar', '1 tablespoon ground cinnamon', '1 teaspoon salt', '1 teaspoon baking soda', '1 1/4 cups vegetable oil', '4 eggs, beaten', '1 1/4 cups chopped pecans']","['Preheat oven to 350 degrees F (175 degrees C). Butter and flour two 9 x 5-inch loaf pans.', 'Slice strawberries and place in medium-sized bowl. Sprinkle lightly with sugar, and set aside while preparing batter.', 'Combine flour, sugar, cinnamon, salt and baking soda in large bowl; mix well. Blend oil and eggs into strawberries. Add strawberry mixture to flour mixture, blending until dry ingredients are just moistened. Stir in pecans. Divide batter into pans.', 'Bake in preheated oven until a tester inserted in the center comes out clean, 45 to 50 minutes (test each loaf separately). Let cool in pans on wire rack for 10 minutes. Turn loaves out of pans, and allow to cool before slicing.', '']",,,,,,,,,,,
Leg of Lamb,4.354166508,40,Johnna,58,9,476,,,,"['8 pounds whole leg of lamb', 'salt to taste', 'ground black pepper to taste', '6 ounces prepared mustard', '1 dash Worcestershire sauce', '2 tablespoons all-purpose flour', '4 cloves garlic, sliced (optional)']","['Preheat oven to 325 degrees F (165 degrees C).', 'Generously salt and pepper lamb. Smear the mustard all over the lamb and sprinkle it with a fine coating of flour. Place lamb in a roasting pan and place slices of garlic over top. Sprinkle with Worcestershire sauce to taste.', 'Roast uncovered at 325 degrees F (165 degrees C) until desired doneness. About 20 minutes per pound for a pink roast. Remove from pan to a heated platter. Use the drippings to make a gravy by a little flour and water. Season with salt and pepper.', '']",,,,,,,,,,,
Mamie's Salad,4,3,Shirley,0,10,311,,,,"['2 eggs', '4 tablespoons all-purpose flour', '2 (20 ounce) cans pineapple chunks', '2 cups diced sharp Cheddar cheese', '2 cups miniature marshmallows', '1 cup chopped pecans']","['Beat eggs and flour with the pineapple juice reserved from the cans of chunk pineapple. Cook over medium low heat until it thickens to gravy consistency. Let cool.', 'Mix together the cheese, marshmallows, drained pineapple chunks, and pecans. Pour dressing over and stir. Refrigerate.', '']",,,,,,,,,,,
Hot Crab Dip,4.224137783,45,William Anatooskin,21,10,132,10 m,20 m,30 m,"['6 tablespoons cream cheese', '1/2 cup mayonnaise', '7 1/2 ounces canned crabmeat, drained', '4 tablespoons minced onion', '1 tablespoon lemon juice', '1/2 teaspoon hot pepper sauce']","['Preheat oven to 350 degrees F (175 degrees C).', 'Beat cream cheese and mayonnaise until smooth. Stir in the crabmeat, minced onion, lemon juice and Tabasco sauce. Spoon mixture into a small oven-proof dish that has been sprayed with cooking spray.', 'Bake at 350 degrees F (175 degrees C) for 20 minutes or until the sauce is bubbly. Serve with crackers, potato chips or tortilla chips. You can also use fresh crabmeat in place of the canned crabmeat.', '']",,,,,,,,,,,
Caramel Corn III,4.346153736,26,Rosemary,17,15,208,,,,"['1 tablespoon vegetable oil', '1 1/2 cups unpopped popcorn', '1 cup packed brown sugar', '1/2 cup butter', '1/4 cup light corn syrup', '1/2 teaspoon salt', '1/2 tablespoon baking soda']","['In a 4 quart saucepan, add 1 tablespoon of the oil , and heat over high heat. When oil is hot, add  1/2 cup of popping corn. Keep pan moving constantly. When corn stops popping, remove from heat. Place popped corn in oven to keep warm. Repeat until all corn has been popped.', 'Preheat oven to 200 degrees F (95 degrees C).', 'Boil sugar, butter, syrup, and salt for  5 minutes. Remove from heat, add baking soda. Stir well.', 'Pour over popped corn. Spread onto cookie sheets and place in oven for 1 hour. Stir every 15 min. Remove from oven and let cool,  breaking apart the popcorn as it cools. Store in air tight containers.', '']",,,,,,,,,,,
Rice Pudding,3.30252099,103,Sue,77,6,212,,,,"['1 cup cooked white rice', '1 quart milk', '1/2 cup white sugar', '1/4 teaspoon salt', '2 eggs, beaten', '1/2 teaspoon vanilla extract', '1 teaspoon butter', '1 pinch ground nutmeg']","['Preheat oven to 350 degrees F (175 degrees C). Butter a 2 quart baking dish.', 'In a 2 quart saucepan over medium heat, scald the milk and remove from heat. Add the rice, sugar and salt. Mix well and slowly add the eggs, vanilla, and butter. Pour mixture into a 2 quart baking dish. Sprinkle nutmeg on top. Bake for 40 minutes. Stir pudding after 20 minutes.', '']",,,,,,,,,,,
Jalapeno Pepper Jelly,4.534883499,79,Honda,22,12,433,,,,"['3 green bell pepper, minced', '2 (4 ounce) cans diced jalapeno peppers', '1 1/2 cups distilled white vinegar', '6 1/2 cups white sugar', '1/2 teaspoon cayenne pepper', '1 (6 fluid ounce) container liquid pectin', '5 drops green food coloring']","['In a large, stainless steel saucepan, combine peppers, vinegar, sugar, and cayenne pepper. Cook over medium high heat. Stir frequently until mixture begins to boil.', 'Stir in pectin; boil 5 minutes longer, stirring constantly, and mix in food coloring. Skim off foam, and remove from heat.', 'Ladle into sterilized jars.  Seal, and process in a boiling-water canner for 5 minutes.', '']",,,,,,,,,,,
Hot Spiced Cider,4.615141869,241,Sara,84,16,86,5 m,5 m,10 m,"['1/4 cup packed brown sugar', '1/2 teaspoon whole allspice', '1 teaspoon whole cloves', '1 cinnamon stick', '1/4 teaspoon salt', '1 pinch ground nutmeg', '1 large orange, quartered with peel', '2 quarts apple cider']","['Place filter in coffee basket, and fill with brown sugar, allspice, cloves, cinnamon stick, salt, nutmeg, and orange wedges. Pour apple cider into coffee pot where the water usually goes. Brew, and serve hot.', '']",,,,,,,,,,,
Christmas Tree Cookies,4.410714149,46,Shannon,33,60,59,,,,"[""1 1/2 cups confectioners' sugar"", '1 cup butter, softened', '1 egg', '1 teaspoon vanilla extract', '1/2 teaspoon almond extract', '2 1/2 cups all-purpose flour', '1 teaspoon baking soda', '1 teaspoon cream of tartar']","[""Mix confectioners' sugar, butter or margarine, egg, vanilla, and almond extract. Stir in flour, baking soda, and cream of tartar. Cover and refrigerate for 2 hours."", 'Heat oven to 375 degrees F (190 degrees C). Divide dough into halves. On lightly floured cloth-covered board, roll each half out to 3/16 inch thick. on lightly floured cloth-covered board. Cut into Christmas shapes.', 'Bake on parchment lined baking sheets for 7 to 8 minutes. Let cool on wire racks and decorate as desired.', '']",,,,,,,,,,,
Dawn's Candied Walnuts,4.78103447,455,Dawn Timmerman,218,16,238,10 m,20 m,30 m,"['1 pound walnut halves', '1 cup white sugar', '2 teaspoons ground cinnamon', '1/4 teaspoon salt', '6 tablespoons milk', '1 teaspoon vanilla extract']","['Preheat oven to 350 degrees F (175 degrees C). Spread nuts in a single layer over a baking sheet. Roast for approximately 8 to 10 minutes, or until the nuts start to turn brown and the smell of roasting nuts fills the kitchen.', 'Stir together sugar, cinnamon, salt, and milk in a medium saucepan. Cook over medium-high heat for 8 minutes, or until the mixture reaches the soft ball stage of 236 degrees F (113 degrees C).  Remove from heat, and stir in vanilla immediately. .', 'Add walnuts to sugar syrup, and stir to coat well. Spoon nuts onto waxed paper, and immediately separate nuts with a fork. Cool, and store in airtight containers.', '']",,,,,,,,,,,
Cow Pies,4.708333492,21,Noel,7,12,192,,,,"['2 cups milk chocolate chips', '1 tablespoon shortening', '1/2 cup raisins', '1/2 cup chopped almonds']","['In the top pot of a double boiler, melt chocolate chips and shortening over simmering water in the bottom pot.. Stir until smooth. Remove from the heat; stir in raisins and almonds.', 'Drop by tablespoonfuls onto waxed paper or parchment. Chill until ready to serve.', '']",,,,,,,,,,,
Mom's Peanut Brittle,4.239999771,66,Carla,38,36,67,,,,"['1 1/2 cups white sugar', '2/3 cup water', '2/3 cup light corn syrup', '2 tablespoons butter', '1/2 cup raw Spanish peanuts', '1/2 teaspoon salt', '1/2 teaspoon vanilla extract', '1/2 teaspoon baking soda', '1 1/2 teaspoons water']","['Generously butter a 12x18 inch cookie sheet. Set aside.', 'Mix sugar, water, and corn syrup in a heavy skillet. Stir well until it comes to a boil.  Cover and boil 3 minutes.  Continue to boil to hard ball stage (when a little bit dropped into a cupful of cold water forms a hard ball - hence the name!) 250 degrees F (120 degrees C).', 'Stir in butter and peanuts. Continue cooking until mixture turns a light brown color.  Remove from heat.', 'Mix together salt, vanilla, baking soda and water. Combine this with syrup and nuts mixture. Mix well, and fast.', 'Pour onto prepared cookie sheet.  Use back of buttered spoon to spread thinly and evenly. Allow to cool, then break into pieces. Store in airtight container in refrigerator.', '']",,,,,,,,,,,
Iced Pumpkin Cookies,4.717503071,3131,Gina,1959,36,122,20 m,20 m,1 h 20 m,"['2 1/2 cups all-purpose flour', '1 teaspoon baking powder', '1 teaspoon baking soda', '2 teaspoons ground cinnamon', '1/2 teaspoon ground nutmeg', '1/2 teaspoon ground cloves', '1/2 teaspoon salt', '1/2 cup butter, softened', '1 1/2 cups white sugar', '1 cup canned pumpkin puree', '1 egg', '1 teaspoon vanilla extract', ""2 cups confectioners' sugar"", '3 tablespoons milk', '1 tablespoon melted butter', '1 teaspoon vanilla extract']","['Preheat oven to 350 degrees F (175 degrees C). Combine flour, baking powder, baking soda, cinnamon, nutmeg, ground cloves, and salt; set aside.', 'In a medium bowl, cream together the 1/2 cup of  butter and white sugar. Add pumpkin, egg, and 1 teaspoon vanilla to butter mixture, and beat until creamy. Mix in dry ingredients. Drop on cookie sheet by tablespoonfuls; flatten slightly.', 'Bake for 15 to 20 minutes in the preheated oven. Cool cookies, then drizzle glaze with fork.', ""To Make Glaze: Combine confectioners' sugar, milk, 1 tablespoon melted butter, and 1 teaspoon vanilla. Add milk as needed, to achieve drizzling consistency."", '']",,,,,,,,,,,
Nanaimo Bars I,4.666666508,65,Shealeen,35,12,389,,,,"['1/2 cup butter', '1/4 cup white sugar', '5 tablespoons unsweetened cocoa powder', '1 egg', '1 teaspoon vanilla extract', '2 cups graham cracker crumbs', '1 cup shredded coconut', '1/2 cup chopped walnuts', '1/4 cup butter', ""2 cups confectioners' sugar"", '2 tablespoons vanilla custard powder', '3 tablespoons milk', '4 (1 ounce) squares semisweet chocolate, chopped', '1 tablespoon butter']","['Mix 1/2 cup butter or margarine, white sugar, cocoa, egg and vanilla in a heavy sauce pan or double boiler. Stir over low heat until mixture is of custard like consistency.', 'Combine graham crackers, coconut and walnuts and add to the melted mixture. Mix well and pack into buttered 9 inch square cake pan.', ""Cream 1/4 cup butter, confectioners' sugar, vanilla custard powder and milk. Beat until creamy and spread over melted base."", 'Refrigerate till hardened.', 'Melt semi-sweet chocolate with 1 tablespoon butter and drizzle over custard icing.  Refrigerate.  When totally hard cut into square bars.', '']",,,,,,,,,,,
Hoot Owl Cookies,4.676470757,32,Lisa,47,24,199,25 m,12 m,1 h 40 m,"['1 cup white sugar', '3/4 cup butter', '1 egg', '1 teaspoon vanilla extract', '2 1/4 cups all-purpose flour', '2 teaspoons baking powder', '1/2 teaspoon salt', '3 tablespoons unsweetened cocoa powder', '1 cup semisweet chocolate chips', '1 cup cashew halves']","['Cream butter and sugar until fluffy.  Beat in egg and vanilla.  Add baking powder and salt.  Beat well.  Add flour and mix until blended.  Remove 2/3 of dough.  Roll or pat dough out to form two 10 x 4 inch rectangles. Add cocoa to remaining 1/3 of dough.  Mix until blended.  Shape chocolate dough into two 10 inch long rolls. Place on rectangle and roll plain dough to cover chocolate dough completely, not including ends.  Wrap in plastic wrap and chill at least 2 hours.', 'Preheat oven to 350 degrees F (180 degrees C).', 'Cut dough into 1/8 inch slices with a sharp knife.  Place two slices side by side on a cookie sheet to resemble an owl\'s face.  Pinch upper ""corners"" to resemble ears.  Put chocolate chips in each dark circle for eyes and a cashew in the center for the beak.', 'Bake for 8 to 12 minutes in the preheated oven, or until lightly browned.', '']",,,,,,,,,,,
Cathedral Window Holiday Bars,3,1,Gerry Burns,0,12,686,,,,"['1 cup butter', '1 cup packed brown sugar', '2 eggs', '2 cups all-purpose flour', '1/2 teaspoon salt', '8 (1 ounce) squares German sweet chocolate', '1/2 cup butter', ""2 cups confectioners' sugar"", '2 eggs', '1 (10.5 ounce) package rainbow colored miniature marshmallows', '1 cup chopped pecans']","['Preheat oven to 350 degrees F (180 degrees C).', 'Mix 1 cup butter, 1 cup brown sugar and 2 eggs.  Stir in 2 cups flour and 1/2 teaspoon salt.  Press in ungreased 9 x 13 pan.', 'Bake for 25 minutes.  Let cool.', 'Heat chocolate and 1/2 cup butter over low heat, stirring constantly until melted.  Remove  from heat.', 'Stir in 2 cups powdered sugar and 2 eggs.  Beat until smooth. Stir in marshmallows and pecans.  Spread mixture over cookie-base.  Refrigerate 2 hours. Cut into bars.', '']",,,,,,,,,,,
Venetians,4.866666794,14,Elaine,8,28,317,,,,"['8 ounces almond paste', '1 1/2 cups butter, softened', '1 cup white sugar', '4 eggs, separated', '2 cups sifted all-purpose flour', '1 teaspoon almond extract', '1/4 teaspoon salt', '4 drops red food coloring', '4 drops green food coloring', '1 1/2 cups apricot jam', '1 pound semisweet chocolate, chopped']","['Grease 3 - 13 x 9 inch pans.  Line with wax paper.  Preheat oven to 350 degrees F (180 degrees C).', 'Combine almond paste, sugar, butter, egg yolks and almond extract.  Beat for 5 minutes until light and fluffy. Beat in flour and salt.', 'In a separate bowl, beat egg whites until stiff peaks form.  With a wooden spoon, fold into the almond mixture.', 'Divide dough into 3 -1 1/2 cup portions.  Add red coloring to one of the portions, and green to the another. Spread the batter in the 3 separate prepared pans (keeping the colors separate).', 'Bake for 15 minutes, or until edges are golden brown.  (Each layer will be 1/4 inch thick). Remove cakes from pan immediately.  Cool thoroughly.', 'Stack layers in a 9 x 13 inch pan, spreading apricot jam between layers (no jam on top layer). Place second 9 x 13 inch pan on top and weigh down with two 5 pound bags of sugar or flour.  Refrigerate overnight.', 'Melt chocolate over hot water and spread over cake.  Allow to set.  Trim edges and cup into 1 inch squares.', '']",,,,,,,,,,,
Lady Locks,4.400000095,9,Deborah,4,24,360,,,,"['1 cup butter', '1 cup margarine', '1 pound cottage cheese, creamed', '4 cups all-purpose flour', '1/2 teaspoon salt', '4 tablespoons all-purpose flour', '2 teaspoons vanilla extract', '1 cup shortening', ""2 cups confectioners' sugar"", '6 tablespoons marshmallow creme', '1 cup milk']","['Cream together butter, margarine, cottage cheese, salt and 4 cups of flour.  Shape into a large square, cover and chill overnight.', 'Cut dough into 4 quarters.  Roll each quarter out individually, about 1/8 inch thick.   Cut into 8 inch strips, as wide as you like.', 'Roll over tubes (I use clothespins covered with aluminum foil).  Bake at 375 degrees F (190 degrees C) until brown.', 'To make Filling:  Cook milk and 4 tablespoons of flour until thick paste forms.  Let cool completely.', ""Beat shortening and confectioner's sugar until fluffy.  Add marshmallow cream and vanilla.  Then add COLD paste and beat."", ""Fill tubes with cream filling.  Sprinkle with confectioner's sugar just before serving."", '']",,,,,,,,,,,
Grandma's Brown Sugar Drop Cookies,3.8125,30,Teri Viereck,4,12,241,,,,"['2/3 cup shortening', '1 cup packed brown sugar', '2 eggs', '1 1/2 teaspoons baking soda', '1 1/2 tablespoons hot water', '1 1/2 cups all-purpose flour', '1/2 teaspoon salt', '1 tablespoon ground cinnamon']","['Preheat oven to 350 degrees F (180 degrees C).', 'Cream together shortening and brown sugar.  Add eggs and mix well.', 'Dissolve baking soda in hot water.  Stir into mixture.  Add flour, salt and cinnamon.  Mix well.', 'Drop by spoonful onto cookie sheet.  Bake 10 - 12 minutes.', '']",,,,,,,,,,,
